orden,Cuenta,ID_Video,frases,score,segundo,tipo-sexismo
1,@biologia_con_esqueleto,7625342767677328662,"Toma, mi querido esposo, es lo último que me queda.",0.0717605054378509,1,
2,@biologia_con_esqueleto,7625342767677328662,"Toma, mi querido esposo, es lo último que me queda.",0.0717605054378509,2,
3,@biologia_con_esqueleto,7625342767677328662,Úsalo para cumplir tu sueño de ser futbolista.,0.0364221893250942,3,
4,@biologia_con_esqueleto,7625342767677328662,Úsalo para cumplir tu sueño de ser futbolista.,0.0364221893250942,4,
5,@biologia_con_esqueleto,7625342767677328662,Te prometo que seré rico y viviremos entre lujos.,0.1224034577608108,5,
6,@biologia_con_esqueleto,7625342767677328662,Te prometo que seré rico y viviremos entre lujos.,0.1224034577608108,6,
7,@biologia_con_esqueleto,7625342767677328662,Por fin lo logré.,0.0219973865896463,7,
8,@biologia_con_esqueleto,7625342767677328662,Por fin lo logré.,0.0219973865896463,8,
9,@biologia_con_esqueleto,7625342767677328662,Ya soy futbolista profesional.,0.0317181460559368,9,
10,@biologia_con_esqueleto,7625342767677328662,Ya soy futbolista profesional.,0.0317181460559368,10,
11,@biologia_con_esqueleto,7625342767677328662,Ya soy futbolista profesional.,0.0317181460559368,11,
12,@biologia_con_esqueleto,7625342767677328662,Ahora todo cambiará.,0.037863440811634,12,
13,@biologia_con_esqueleto,7625342767677328662,Ahora todo cambiará.,0.037863440811634,13,
14,@biologia_con_esqueleto,7625342767677328662,"Vamos, mi amor.",0.0694496631622314,14,
15,@biologia_con_esqueleto,7625342767677328662,"Vamos, mi amor.",0.0694496631622314,15,
16,@biologia_con_esqueleto,7625342767677328662,Yo siempre confí en ti.,0.0432624965906143,16,
17,@biologia_con_esqueleto,7625342767677328662,Yo siempre confí en ti.,0.0432624965906143,17,
18,@biologia_con_esqueleto,7625342767677328662,"Lo logramos, mi amor.",0.0537468530237674,18,
19,@biologia_con_esqueleto,7625342767677328662,Ahora somos ricos.,0.0418435856699943,19,
20,@biologia_con_esqueleto,7625342767677328662,Somos el único rico aquí soy yo.,0.0530540235340595,20,
21,@biologia_con_esqueleto,7625342767677328662,Somos el único rico aquí soy yo.,0.0530540235340595,21,
22,@biologia_con_esqueleto,7625342767677328662,Somos el único rico aquí soy yo.,0.0530540235340595,22,
23,@biologia_con_esqueleto,7625342767677328662,"Lárgate de aquí, mugrosa.",0.8690357208251953,23,Sexismo claro
24,@biologia_con_esqueleto,7625342767677328662,O llamaré a seguridad.,0.0342693552374839,24,
25,@biologia_con_esqueleto,7625342767677328662,O llamaré a seguridad.,0.0342693552374839,25,
26,@biologia_con_esqueleto,7625342767677328662,"Al fin estoy con alguien que sí es de mi nivel, no como esa mugrosa que decía que era mi esposa.",0.7627625465393066,26,Sexismo probable
27,@biologia_con_esqueleto,7625342767677328662,"Al fin estoy con alguien que sí es de mi nivel, no como esa mugrosa que decía que era mi esposa.",0.7627625465393066,27,Sexismo probable
28,@biologia_con_esqueleto,7625342767677328662,"Al fin estoy con alguien que sí es de mi nivel, no como esa mugrosa que decía que era mi esposa.",0.7627625465393066,28,Sexismo probable
29,@biologia_con_esqueleto,7625342767677328662,"Al fin estoy con alguien que sí es de mi nivel, no como esa mugrosa que decía que era mi esposa.",0.7627625465393066,29,Sexismo probable
30,@biologia_con_esqueleto,7625342767677328662,"Al fin estoy con alguien que sí es de mi nivel, no como esa mugrosa que decía que era mi esposa.",0.7627625465393066,30,Sexismo probable
31,@biologia_con_esqueleto,7625342767677328662,"Claro, mi amor.",0.1231055855751037,31,
32,@biologia_con_esqueleto,7625342767677328662,"Claro, mi amor.",0.1231055855751037,32,
33,@biologia_con_esqueleto,7625342767677328662,No puede ser.,0.0378718748688697,33,
34,@biologia_con_esqueleto,7625342767677328662,No puede ser.,0.0378718748688697,34,
35,@biologia_con_esqueleto,7625342767677328662,Incluso ya encontró a otra mujer.,0.7478044629096985,35,
36,@biologia_con_esqueleto,7625342767677328662,Incluso ya encontró a otra mujer.,0.7478044629096985,36,
37,@biologia_con_esqueleto,7625342767677328662,Incluso ya encontró a otra mujer.,0.7478044629096985,37,
38,@biologia_con_esqueleto,7625342767677328662,Me las va a pagar.,0.5271588563919067,38,
39,@biologia_con_esqueleto,7625342767677328662,Me las va a pagar.,0.5271588563919067,39,
40,@biologia_con_esqueleto,7625342767677328662,Me las va a pagar.,0.5271588563919067,40,
41,@biologia_con_esqueleto,7625342767677328662,Lo voy a destruir.,0.0306709520518779,41,
42,@biologia_con_esqueleto,7625342767677328662,Me quedaré con todo lo que tiene.,0.0696854591369628,42,
43,@biologia_con_esqueleto,7625342767677328662,Me quedaré con todo lo que tiene.,0.0696854591369628,43,
44,@biologia_con_esqueleto,7625342767677328662,Lo prometo.,0.0608120933175087,44,
45,@biologia_con_esqueleto,7625342767677328662,"Pero, ¿qué es lo que le pasa a una chica tan linda como tú?",0.4384412467479706,45,
46,@biologia_con_esqueleto,7625342767677328662,"Pero, ¿qué es lo que le pasa a una chica tan linda como tú?",0.4384412467479706,46,
47,@biologia_con_esqueleto,7625342767677328662,"Pero, ¿qué es lo que le pasa a una chica tan linda como tú?",0.4384412467479706,47,
48,@biologia_con_esqueleto,7625342767677328662,"Pero, ¿qué es lo que le pasa a una chica tan linda como tú?",0.4384412467479706,48,
49,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,49,
50,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,50,
51,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,51,
52,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,52,
53,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,53,
54,@biologia_con_esqueleto,7625342767677328662,"El hombre al que le di todo me traicionó y me dejó en la calle, pero me las va a pagar.",0.3660039901733398,54,
55,@biologia_con_esqueleto,7625342767677328662,Entiendo.,0.0491031818091869,55,
56,@biologia_con_esqueleto,7625342767677328662,Yo te ayudaré.,0.0435386858880519,56,
57,@biologia_con_esqueleto,7625342767677328662,Ven conmigo.,0.1206027939915657,57,
58,@biologia_con_esqueleto,7625342767677328662,Ahora sí me voy a vengar de él.,0.1107665672898292,58,
59,@biologia_con_esqueleto,7625342767677328662,Ahora sí me voy a vengar de él.,0.1107665672898292,59,
60,@biologia_con_esqueleto,7625342767677328662,Ahora sí me voy a vengar de él.,0.1107665672898292,100,
61,@biologia_con_esqueleto,7625342767677328662,Ahora sí me voy a vengar de él.,0.1107665672898292,101,
62,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,1,
63,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,2,
64,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,3,
65,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,4,
