Título,Género,Duración,DuraciónMin,Artista,Estrofa,PorcentajeAlegría
Caminos de Fuego,Rock,3:45,3.75,Ruido Solar,"El viento arde entre montañas",76
Ecos del Ayer,Pop,4:12,4.2,Estela Nova,"Te busqué en la lluvia y no estabas",60
Noches de Arena,Jazz,5:03,5.05,Azul Dócil,"Todo gira en un compás eterno",42
Códigos del Alma,Electrónica,2:58,2.97,Sintetik,"Luz y sombra bailan en mí",88
Cuerda Final,Clásica,6:00,6.0,Orquesta Eclipse,"La melodía se hunde en silencio",15
Marea Interna,Rock,3:33,3.55,Los Cráteres,"No hay faro en esta tormenta",55
Susurros Lejanos,Pop,4:05,4.08,Luz Polar,"Vuelvo a empezar desde el eco",68
Noche Cósmica,Jazz,4:50,4.83,Cuarteto Prisma,"Brillan notas como estrellas",35
Impulso Digital,Electrónica,3:02,3.03,Binary Pulse,"Descifro tus latidos eléctricos",91
Vals del Recuerdo,Clásica,5:55,5.92,Ensamble Antiguo,"Bailamos sobre el tiempo",22
Horizonte Rojo,Rock,4:15,4.25,Vórtice,"Tus ojos eran fuego al anochecer",73
Día de Cristal,Pop,3:41,3.68,Sol Vago,"Todo es frágil bajo esta luz",58
Tiempos Circulares,Jazz,5:21,5.35,Ritmo Viento,"Gira la vida en notas lentas",44
Código Azul,Electrónica,2:47,2.78,Fonotronik,"Un mensaje entre pulsos perdidos",85
Aurora de Invierno,Clásica,6:00,6.0,Capella Boreal,"Silencio entre copos eternos",10
Cruce de Sombras,Rock,3:50,3.83,Eclipse Dual,"No hay salida en esta ciudad",63
Brisa de Agosto,Pop,3:59,3.98,Marea Clara,"Te soñé en tardes de fuego",66
Notas de Sal,Jazz,4:22,4.37,Luna y Cuero,"Melodía salada del sur",41
Red de Sueños,Electrónica,3:09,3.15,Pixelma,"Te encuentro en la interfaz del alma",87
Suite del Alba,Clásica,5:45,5.75,Camerata Sur,"La noche cede paso al alba",19
Estrella Tardía,Rock,4:10,4.17,Cometa Gris,"Tu luz no llega a tiempo",67
Entre Ríos,Pop,3:55,3.92,Vía Láctea,"Vuelvo entre sombras y reflejos",54
Otoño Urbano,Jazz,4:48,4.8,Bruma 5,"Lluvia lenta sobre adoquines",38
Frecuencia Mental,Electrónica,2:51,2.85,Voltaje Puro,"Razonas en código binario",90
Plegaria Lunar,Clásica,6:00,6.0,Orfeón Alba,"Canta la luna al dormirse",13
Eco Salvaje,Rock,3:47,3.78,Gran Fauna,"Grito sobre el viento",74
Niebla y Sol,Pop,4:09,4.15,Luz Nómada,"Sigues en mi voz quebrada",59
Ruta Infinita,Jazz,5:15,5.25,Combo Tiempo,"No hay final en este compás",36
Digitus,Electrónica,3:04,3.07,Sintetik,"Un gesto, una señal, un pulso",83
Pasos de Cielo,Clásica,5:33,5.55,Sexteto Aura,"Suben notas como alondras",21
Corazón Delta,Rock,3:40,3.67,Río de Hierro,"Cambia el cauce en cada latido",70
